iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
1320	0.0975958	88.8745	-5.940926e+00	-1.471126e+03	-1.477067e+03
1325	0.0975958	91.6154	-5.981617e+00	-1.470571e+03	-1.476553e+03
1330	0.0975958	92.3689	-5.992622e+00	-1.470603e+03	-1.476595e+03
1335	0.0978754	95.5979	-6.042233e+00	-1.471440e+03	-1.477482e+03
1340	0.0978754	102.944	-6.142744e+00	-1.477247e+03	-1.483390e+03
1345	0.0978754	94.3279	-6.024187e+00	-1.470973e+03	-1.476997e+03
1350	0.0994105	90.0218	-5.979473e+00	-1.471741e+03	-1.477720e+03
1355	0.0920575	90.0218	-5.890698e+00	-1.470652e+03	-1.476543e+03
1360	0.0945239	89.5455	-5.914015e+00	-1.470076e+03	-1.475990e+03
1365	0.0920748	84.4062	-5.805042e+00	-1.469731e+03	-1.475536e+03
1370	0.0920748	84.4062	-5.805042e+00	-1.469731e+03	-1.475536e+03
1375	0.0920748	84.4062	-5.805042e+00	-1.469731e+03	-1.475536e+03
1380	0.087474	78.8553	-5.656601e+00	-1.469110e+03	-1.474767e+03
1385	0.0838567	77.1263	-5.579602e+00	-1.467786e+03	-1.473365e+03
1390	0.0838567	77.1263	-5.579602e+00	-1.467786e+03	-1.473365e+03
1395	0.0838567	77.1263	-5.579602e+00	-1.467786e+03	-1.473365e+03
1400	0.0803539	72.8139	-5.456470e+00	-1.467077e+03	-1.472533e+03
1405	0.0758549	72.8139	-5.392115e+00	-1.466923e+03	-1.472315e+03
1410	0.0759753	71.8971	-5.377432e+00	-1.466350e+03	-1.471727e+03
1415	0.0759753	72.0894	-5.380896e+00	-1.466446e+03	-1.471827e+03
1420	0.0738946	66.5593	-5.247150e+00	-1.465295e+03	-1.470542e+03
1425	0.0740086	66.5593	-5.248857e+00	-1.465354e+03	-1.470603e+03
1430	0.0701182	66.5593	-5.189363e+00	-1.465133e+03	-1.470323e+03
1435	0.0695135	68.3447	-5.213880e+00	-1.467268e+03	-1.472482e+03
1440	0.0750025	68.3447	-5.297649e+00	-1.465515e+03	-1.470813e+03
1445	0.0743538	70.7573	-5.332791e+00	-1.466208e+03	-1.471541e+03
1450	0.0743538	70.7573	-5.332791e+00	-1.466208e+03	-1.471541e+03
1455	0.0743538	70.7573	-5.332791e+00	-1.466208e+03	-1.471541e+03
1460	0.0746356	70.7573	-5.336981e+00	-1.466113e+03	-1.471450e+03
1465	0.0673785	63.6506	-5.088692e+00	-1.464245e+03	-1.469334e+03
1470	0.0663719	63.6506	-5.072320e+00	-1.464826e+03	-1.469898e+03
1475	0.0645296	57.7947	-4.919749e+00	-1.462211e+03	-1.467131e+03
